"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
426	"Oliver A., Khanna M."	"(Oliver and Khanna, 2018)"	"The spatial distribution of welfare costs of Renewable Portfolio Standards in the United States electricity sector"	2018	"Letters in Spatial and Resource Sciences"	"10.1007/s12076-018-0208-3"	"https://doi.org/10.1007/s12076-018-0208-3"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"emissions/CO2 related,production/productivity change,production/productivity change"	"RDP"	"BEPAM-E"	"2030"	"NASS,MISCANMOD"	NA	21	"Alabama_Georgia,Arizona_New Mexico,Arkansas_Louisiana_Mississippi,California,Colorado_Wyoming,Connecticut_Maine_Masachusetts_New Hampshire_Rhode Island_Vermont,DC_North Carolina_South Carolina_Virginia,Delaware_Maryland_Pennsylvania,Florida,Idaho_Nevada_Oregon_Utah_Washington,Illinois_Missiouri,Indiana_New Jersey_Ohio_West Virginia,Iowa_Montana_Nebraska_North Dakota_South Dakota,Kansas,Kentucky_Tennessee,Michigan,New York,Oklahoma,Rest of World,Texas,Wisconsin"	NA	5	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
427	"Pizarro-Alonso A., Cimpan C., Münster M."	"(Pizarro-Alonso et al., 2018)"	"The climate footprint of imports of combustible waste in systems with high shares of district heating and variable renewable energy"	2018	"Waste Management"	"10.1016/j.wasman.2018.07.006"	"https://doi.org/10.1016/j.wasman.2018.07.006"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"biofuel related,biofuel related,high elec,low elec"	"SP"	"Balmorel"	"2035"	"IEA, Ecoinvent 3"	NA	5	"Denmark,Finland,Germany,Norway,Sweden"	NA	10	"Yes"	"optimization model"	"Optiflow"	"waste"	"loose"	"Coupled model uses CGE/PE output"	"unspecified"	""	"No"
428	"Pothen F., Hübler M."	"(Pothen and Hübler, 2018)"	"The interaction of climate and trade policy"	2018	"European Economic Review"	"10.1016/j.euroecorev.2018.04.004"	"https://doi.org/10.1016/j.euroecorev.2018.04.004"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"emissions/CO2 related,liberalization"	"SG"	""	"2020"	"GTAP9"	140	19	"Brazil,Canada,China,Europe,France,India,Italy,Japan,Lower Saxony,Mexico,Oceania,Rest of Asia,Rest of Europe,Rest of Germany,Rest of World,Russia/FSU,South Korea,United Kingdom,United States"	57	17	"No"	""	""	""	""	""	"GAMS"	"PATH/CONOPT"	"Yes"
429	"Qi C., Zhang J.X."	"(Qi and Zhang, 2018)"	"The economic impacts of the China-Australia Free Trade Agreement - A general equilibrium analysis"	2018	"China Economic Review"	"10.1016/j.chieco.2017.11.002"	"https://doi.org/10.1016/j.chieco.2017.11.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	10	"Australia,China,East Asia_SEA,Europe,Japan,LAM/LAC/SAM,New Zealand,North America,Rest of World,South Asia"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"No"
430	"Qian H., Zhou Y., Wu L."	"(Qian et al., 2018)"	"Evaluating various choices of sector coverage in China’s national emissions trading system (ETS)"	2018	"Climate Policy"	"10.1080/14693062.2018.1464894"	"https://doi.org/10.1080/14693062.2018.1464894"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"GTAP-E"	"2012"	"2012 China National Statistics"	NA	1	"China"	NA	42	"No"	""	""	""	""	""	"GAMS"	""	"No"
431	"Rosyadi S.A., Widodo T."	"(Rosyadi and Widodo, 2018)"	"Impact of Donald Trump’s tariff increase against Chinese imports on global economy: Global Trade Analysis Project (GTAP) model"	2018	"Journal of Chinese Economic and Business Studies"	"10.1080/14765284.2018.1427930"	"https://doi.org/10.1080/14765284.2018.1427930"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	29	"Africa,Brazil,Canada,Chile,China,Colombia,Europe,Hong Kong,India,Indonesia,Israel,Japan,Malaysia,Mexico,Oceania,Philippines,Rest of World,Russia/FSU,Saudi Arabia,Singapore,South Korea,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United States,Venezuela,Vietnam"	57	13	"No"	""	""	""	""	""	"unspecified"	""	"No"
432	"Sheng Y., Shi X., Su B."	"(Sheng et al., 2018)"	"Re-analyzing the economic impact of a global bunker emissions charge"	2018	"Energy Economics"	"10.1016/j.eneco.2018.05.035"	"https://doi.org/10.1016/j.eneco.2018.05.035"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"RDG"	"GTEM"	"2030"	"GTAP, IEA, UNFCCC"	NA	13	"Australia,Canada,China,Europe,India,Indonesia,Japan,OPEC,Other SEAn Countries,Rest of World,Russia/FSU,South Africa/SACU,United States"	NA	21	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
433	"Shibasaki R., Usami T., Furuichi M., Teranishi H., Kato H."	"(Shibasaki et al., 2018)"	"How do the new shipping routes affect Asian liquefied natural gas markets and economy? Case of the Northern Sea Route and Panama Canal expansion"	2018	"Maritime Policy and Management"	"10.1080/03088839.2018.1445309"	"https://doi.org/10.1080/03088839.2018.1445309"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"exchange rate related,logistic,logistic,other energy related"	"SG"	"GTAP"	"2011"	"GTAP9"	140	29	"Algeria,Australia,Belgium_Netherlands,Brunei,Central Asia,China,Egypt,Equatorial Guinea,France,Indonesia,Japan,Malaysia,Myanmar,Nigeria,Norway,Oman_Yemen,Other SEA,Papua New Guinea,Peru,Qatar,Rest of World,Russia/FSU,South Asia,South Korea,Spain,Taiwan,Trinidad and Tobago,United Arab Emirates,United States"	57	7	"No"	""	""	""	""	""	"unspecified"	""	"No"
434	"Somé A., Dandres T., Gaudreault C., Majeau-Bettez G., Wood R., Samson R."	"(Somé et al., 2018)"	"Coupling input-output tables with macro-life cycle assessment to assess worldwide impacts of biofuels transport policies"	2018	"Journal of Industrial Ecology"	"10.1111/jiec.12640"	"https://doi.org/10.1111/jiec.12640"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"biofuel related"	"SG"	"GTAP-BYP"	"2020"	"EXIOBASE"	44	3	"Europe,Rest of World,United States"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
435	"van Meijl H., Tsiropoulos I., Bartelings H., Hoefnagels R., Smeets E., Tabeau A., Faaij A."	"(van Meijl et al., 2018)"	"On the macro-economic impact of bioenergy and biochemicals – Introducing advanced bioeconomy sectors into an economic modelling framework with a case study for the Netherlands"	2018	"Biomass and Bioenergy"	"10.1016/j.biombioe.2017.10.040"	"https://doi.org/10.1016/j.biombioe.2017.10.040"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"bioenergy"	"biofuel related,technological change"	"RDG"	"MAGNET"	"2030"	"GTAP9, energy, fossil fuel price"	140	8	"Africa,Asia_Oceania,Belgium,Germany,LAM/LAC/SAM,Netherlands,North America,Rest of Europe"	63	11	"Yes"	"energy system model"	"MARKAL-NL-UU"	"energy"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"Yes"
436	"Wei W., Zhang J., Dong B., Wang H."	"(Wei et al., 2018)"	"Quantifying the impacts of China’s currency depreciation and capital control: a CGE analysis"	2018	"Applied Economics Letters"	"10.1080/13504851.2017.1388905"	"https://doi.org/10.1080/13504851.2017.1388905"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"currency appreciation/depreciation"	"RDG"	"GDyn"	"2026"	"GTAP9"	140	6	"China,Europe,Japan_South Korea,Rest of World,SEA,United States"	57	11	"No"	""	""	""	""	""	"GAMS"	""	"No"
437	"Wesseh P.K., Jr., Lin B."	"(Wesseh et al., 2018)"	"Carbon pricing and general equilibrium under Leontief production technology"	2018	"Journal of Cleaner Production"	"10.1016/j.jclepro.2018.04.100"	"https://doi.org/10.1016/j.jclepro.2018.04.100"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"GTAP"	"2007"	"GTAP8"	129	6	"China,HICs,LICs,lower-middle-income countries,United States,upper-middle-income countries"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"No"
438	"Yu Z., Geng Y., Dai H., Wu R., Liu Z., Tian X., Bleischwitz R."	"(Yu et al., 2018)"	"A general equilibrium analysis on the impacts of regional and sectoral emission allowance allocation at carbon trading market"	2018	"Journal of Cleaner Production"	"10.1016/j.jclepro.2018.05.006"	"https://doi.org/10.1016/j.jclepro.2018.05.006"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"RDG"	"IMED/CGE"	"2030"	"National Bureau of Statistics China"	NA	2	"Rest of China,Shanghai"	NA	37	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
439	"Abbott P., Bentzen J., Tarp F."	"(Abbott et al., 2009)"	"Trade and Development: Lessons from Vietnam's Past Trade Agreements"	2009	"World Development"	"10.1016/j.worlddev.2008.04.005"	"https://doi.org/10.1016/j.worlddev.2008.04.005"	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
440	"Andrew R., Peters G.P., Lennox J."	"(Andrew et al., 2009)"	"Approximation and regional aggregation in multi-regional input-output analysis for national carbon footprint accounting"	2009	"Economic Systems Research"	"10.1080/09535310903541751"	"https://doi.org/10.1080/09535310903541751"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
441	"Bandara J.S."	"(Bandara 2009)"	"Playing with numbers: Critical evaluation of quantitative assessments of South Asian regional integration"	2009	"Economic and Political Weekly"	""	"https://www.jstor.org/stable/25663839"	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
442	"Cavelaars P."	"(Cavelaars 2009)"	"Does globalisation discipline monetary policymakers?"	2009	"Journal of International Money and Finance"	"10.1016/j.jimonfin.2008.08.017"	"https://doi.org/10.1016/j.jimonfin.2008.08.017"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
443	"McKibbin W.J., Stoeckel A."	"(McKibbin and Stoeckel, 2009)"	"Modelling the global financial crisis"	2009	"Oxford Review of Economic Policy"	"10.1093/oxrep/grq012"	"https://doi.org/10.1093/oxrep/grq012"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
444	"Melatos M., Woodland A."	"(Melatos and Woodland, 2009)"	"Common external tariff choice in core customs unions"	2009	"Review of International Economics"	"10.1111/j.1467-9396.2009.00824.x"	"https://doi.org/10.1111/j.1467-9396.2009.00824.x"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
445	"Nicholson W., Westhoff F."	"(Nicholson and Westhoff, 2009)"	"General equilibrium models: Improving the microeconomics classroom"	2009	"Journal of Economic Education"	"10.3200/JECE.40.3.297-314"	"https://doi.org/10.3200/JECE.40.3.297-314"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
446	"Rossi P., Kagatsume M."	"(Rossi and Kagatsume, 2009)"	"Beef export restrictions in Argentina: Impact on the beef industry and national welfare"	2009	"Journal of Food, Agriculture and Environment"	""	"https://doi.org/"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
447	"Balasko Y., Tvede M."	"(Balasko and Tvede, 2010)"	"General equilibrium without utility functions: How far to go?"	2010	"Economic Theory"	"10.1007/s00199-009-0496-3"	"https://doi.org/10.1007/s00199-009-0496-3"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
448	"Betrán C., Ferri J., Pons M.A."	"(Betrán et al., 2010)"	"Explaining UK wage inequality in the past globalisation period, 1880-1913"	2010	"Cliometrica"	"10.1007/s11698-009-0038-z"	"https://doi.org/10.1007/s11698-009-0038-z"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
449	"Borck R., Pflüger M., Wrede M."	"(Borck et al., 2010)"	"A simple theory of industry location and residence choice"	2010	"Journal of Economic Geography"	"10.1093/jeg/lbp046"	"https://doi.org/10.1093/jeg/lbp046"	"No"	"Yes"	"No"	"Ambiguous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
450	"Breuss F."	"(Breuss 2010)"	"Globalisation, EU enlargement and income distribution"	2010	"International Journal of Public Policy"	"10.1504/IJPP.2010.031204"	"https://doi.org/10.1504/IJPP.2010.031204"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
451	"Bröcker J., Korzhenevych A., Schürmann C."	"(Bröcker et al., 2010)"	"Assessing spatial equity and efficiency impacts of transport infrastructure projects"	2010	"Transportation Research Part B: Methodological"	"10.1016/j.trb.2009.12.008"	"https://doi.org/10.1016/j.trb.2009.12.008"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
452	"Carton B., eB́nassy-Quéré A., Dufrénot G., Batté L."	"(Carton et al., 2010)"	"Asymmetric terms-of-trade shocks in a Monetary Union: An application to West Africa"	2010	"Journal of African Economies"	"10.1093/jae/ejq022"	"https://doi.org/10.1093/jae/ejq022"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
453	"Fehr H., Jokisch S., Kotlikoff L.J."	"(Fehr et al., 2010)"	"Global growth, ageing, and inequality across and within generations"	2010	"Oxford Review of Economic Policy"	"10.1093/oxrep/grq033"	"https://doi.org/10.1093/oxrep/grq033"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
454	"Flaaten O., Schulz C.E."	"(Flaaten and Schulz, 2010)"	"Triple win for trade in renewable resource goods by use of export taxes"	2010	"Ecological Economics"	"10.1016/j.ecolecon.2009.11.029"	"https://doi.org/10.1016/j.ecolecon.2009.11.029"	"No"	"Yes"	"Ambiguous"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
455	"Furlani L.G.C., Portugal M.S., Laurini M.P."	"(Furlani et al., 2010)"	"Exchange rate movements and monetary policy in Brazil: Econometric and simulation evidence"	2010	"Economic Modelling"	"10.1016/j.econmod.2009.09.008"	"https://doi.org/10.1016/j.econmod.2009.09.008"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
456	"Haddad E.A., Hewings G.J.D., Perobelli F.S., dos Santos R.A.C."	"(Haddad et al., 2010)"	"Regional effects of port infrastructure: A spatial CGE application to Brazil"	2010	"International Regional Science Review"	"10.1177/0160017610368690"	"https://doi.org/10.1177/0160017610368690"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
457	"Hnatkovska V."	"(Hnatkovska 2010)"	"Home bias and high turnover: Dynamic portfolio choice with incomplete markets"	2010	"Journal of International Economics"	"10.1016/j.jinteco.2009.06.006"	"https://doi.org/10.1016/j.jinteco.2009.06.006"	"No"	"Yes"	"No"	"Ambiguous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
458	"May J.B."	"(May 2010)"	"Trade and migration in an enlarged european union: A spatial analysis"	2010	"Global Economy Journal"	"10.2202/1524-5861.1440"	"https://doi.org/10.2202/1524-5861.1440"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
459	"Mérette M., Georges P."	"(Mérette and Georges, 2010)"	"Demographic changes and the gains from globalisation: An analysis of ageing, capital flows, and international trade"	2010	"Global Economy Journal"	"10.2202/1524-5861.1549"	"https://doi.org/10.2202/1524-5861.1549"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
460	"Mitra D., Ranjan P."	"(Mitra and Ranjan, 2010)"	"Offshoring and unemployment: The role of search frictions labor mobility"	2010	"Journal of International Economics"	"10.1016/j.jinteco.2010.04.001"	"https://doi.org/10.1016/j.jinteco.2010.04.001"	"No"	"Yes"	"Ambiguous"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
461	"Munier B."	"(Munier 2010)"	"Boundedly rational exuberance on commodity markets"	2010	"Risk and Decision Analysis"	"10.3233/RDA-2010-0022"	"https://doi.org/10.3233/RDA-2010-0022"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
462	"Offermann F., Gömann H., Kreins P., Von Ledebur O., Pelikan J., Salamon P., Sanders J."	"(Offermann et al., 2010)"	"vTI-baseline 2009 to 2019: Agri-economic projections for Germany"	2010	"Landbauforschung Volkenrode"	""	"https://www.cabdirect.org/cabdirect/abstract/20103299010"	"No"	"Yes"	"Yes"	"Ambiguous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
463	"Ross Morrow W., Gallagher K.S., Collantes G., Lee H."	"(Ross Morrow et al., 2010)"	"Analysis of policies to reduce oil consumption and greenhouse-gas emissions from the US transportation sector"	2010	"Energy Policy"	"10.1016/j.enpol.2009.11.006"	"https://doi.org/10.1016/j.enpol.2009.11.006"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
464	"Simonovska I."	"(Simonovska 2010)"	"Income differences and prices of tradables: Insights from an online retailer"	2010	"Review of Economic Studies"	"10.1093/restud/rdv015"	"https://doi.org/10.1093/restud/rdv015"	"No"	"Yes"	"Ambiguous"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
465	"Yoshimine K."	"(Yoshimine 2010)"	"The transmission of us business cycles to the Canadian Economy"	2010	"International Economic Journal"	"10.1080/10168737.2010.486886"	"https://doi.org/10.1080/10168737.2010.486886"	"No"	"Yes"	"No"	"Ambiguous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466	"Beckman J., Hertel T., Tyner W."	"(Beckman et al., 2011)"	"Validating energy-oriented CGE models"	2011	"Energy Economics"	"10.1016/j.eneco.2011.01.005"	"https://doi.org/10.1016/j.eneco.2011.01.005"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
467	"Bernard A.B., Redding S.J., Schott P.K."	"(Bernard et al., 2011)"	"Multiproduct firms and trade liberalization"	2011	"Quarterly Journal of Economics"	"10.1093/qje/qjr021"	"https://doi.org/10.1093/qje/qjr021"	"No"	"Yes"	"Ambiguous"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
468	"Bostan I., Grosu V."	"(Bostan and Grosu, 2011)"	"General equilibrium dynamic models and the Doha Round impact on underdeveloped economies"	2011	"Romanian Journal of Economic Forecasting"	""	"http://see-articles.ceon.rs/data/pdf/1582-6163/2011/1582-61631101159B.pdf"	"No"	"No"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
469	"Crucini M.J., Kose M.A., Otrok C."	"(Crucini et al., 2011)"	"What are the driving forces of international business cycles?"	2011	"Review of Economic Dynamics"	"10.1016/j.red.2010.09.001"	"https://doi.org/10.1016/j.red.2010.09.001"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
470	"Egger P., Greenaway D., Seidel T."	"(Egger et al., 2011)"	"Rigid labour markets with trade and capital mobility: Theory and evidence"	2011	"Canadian Journal of Economics"	"10.1111/j.1540-5982.2011.01642.x"	"https://doi.org/10.1111/j.1540-5982.2011.01642.x"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
471	"Estevez K."	"(Estevez 2011)"	"Nutritional efficiency wages and child labor"	2011	"Economic Modelling"	"10.1016/j.econmod.2011.03.004"	"https://doi.org/10.1016/j.econmod.2011.03.004"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
472	"Fieler A.C."	"(Fieler 2011)"	"Nonhomotheticity and bilateral trade: Evidence and a quantitative explanation"	2011	"Econometrica"	"10.3982/ECTA8346"	"https://doi.org/10.3982/ECTA8346"	"No"	"Yes"	"Ambiguous"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
473	"Jones R.W."	"(Jones 2011)"	"Sense and surprise in competitive trade theory 2010 weai presidential address"	2011	"Economic Inquiry"	"10.1111/j.1465-7295.2010.00335.x"	"https://doi.org/10.1111/j.1465-7295.2010.00335.x"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
474	"Khoso I., Ram N., Shah A.A., Shafiq K., Shaikh F.M."	"(Khoso et al., 2011)"	"Analysis of welfare effects of South Asia free trade agreement (SAFTA) on Pakistan's economy by using CGE model"	2011	"Asian Social Science"	""	"http://www.ccsenet.org/journal/index.php/ass/article/view/8873"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
475	"Knaap T., Oosterhaven J."	"(Knaap and Oosterhaven, 2011)"	"Measuring the welfare effects of infrastructure: A simple spatial equilibrium evaluation of Dutch railway proposals"	2011	"Research in Transportation Economics"	"10.1016/j.retrec.2010.11.004"	"https://doi.org/10.1016/j.retrec.2010.11.004"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
476	"Kunimtsu Y., Takahashi K., Furubayashi T., Nakata T."	"(Kunimtsu et al., 2011)"	"Economic ripple effects of policy coordination on bio-ethanol production and trade in east Asia: Application of international inter-regional input-output analysis"	2011	"Studies in Regional Science"	"10.2457/srs.41.635"	"https://doi.org/10.2457/srs.41.635"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
477	"Liu X., Xin X."	"(Liu and Xin, 2011)"	"Why has China's trade grown so fast? A demand-side perspective"	2011	"Emerging Markets Finance and Trade"	"10.2753/REE1540-496X470105"	"https://doi.org/10.2753/REE1540-496X470105"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
478	"Malý M., Malá Z., Šobrová L., Hálová P."	"(Malý et al., 2011)"	"Partial equilibrium model of Czech beef trade"	2011	"Agris On-line Papers in Economics and Informatics"	""	"https://ageconsearch.umn.edu/record/109736/"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
479	"Naudé W., Rossouw R."	"(Naudé and Rossouw, 2011)"	"Export diversification and economic performance: Evidence from Brazil, China, India and South Africa"	2011	"Economic Change and Restructuring"	"10.1007/s10644-010-9089-1"	"https://doi.org/10.1007/s10644-010-9089-1"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
480	"Németh G., Szabó L., Ciscar J.-C."	"(Németh et al., 2011)"	"Estimation of Armington elasticities in a CGE economy-energy-environment model for Europe"	2011	"Economic Modelling"	"10.1016/j.econmod.2011.03.032"	"https://doi.org/10.1016/j.econmod.2011.03.032"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
481	"Paulus M., Trüby J."	"(Paulus and Trüby, 2011)"	"Coal lumps vs. electrons: How do Chinese bulk energy transport decisions affect the global steam coal market?"	2011	"Energy Economics"	"10.1016/j.eneco.2011.02.006"	"https://doi.org/10.1016/j.eneco.2011.02.006"	"No"	"Yes"	"Ambiguous"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
482	"Peters G.P., Andrew R., Lennox J."	"(Peters et al., 2011)"	"Constructing an environmentallyextended multi-regional input-output table using the gtap database"	2011	"Economic Systems Research"	"10.1080/09535314.2011.563234"	"https://doi.org/10.1080/09535314.2011.563234"	"No"	"Yes"	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
483	"Raimondi V., Olper A."	"(Raimondi and Olper, 2011)"	"Trade elasticity, gravity and trade liberalisation: Evidence from the food industry"	2011	"Journal of Agricultural Economics"	"10.1111/j.1477-9552.2011.00303.x"	"https://doi.org/10.1111/j.1477-9552.2011.00303.x"	"No"	"Yes"	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
